scenario,confidence,sector,direct_shock,total_impact,multiplier_effect,price_effect,gdp_contribution
150-year,p5,PROF_OTHER,-125.43,-190.71,-65.28,-3.96,2.31
150-year,p5,EDUC_ENT,-95.96,-150.46,-54.5,-4.17,6.28
150-year,p5,G,-85.56,-150.85,-65.29,-3.39,6.74
150-year,p95,AGR,-5.56,-16.16,-10.6,-5.3,-1.95
150-year,p95,MINING,-0.74,-8.61,-7.87,-5.99,-3.96
150-year,p95,UTIL_CONST,-47.03,-81.5,-34.47,-4.5,1.15
150-year,p95,MANUF,-76.47,-214.57,-138.1,-4.92,-16.25
150-year,p95,TRADE_TRANSP,-102.96,-50.3,52.66,-4.12,0.0
150-year,p95,INFO,-50.06,-87.51,-37.45,-3.63,1.06
150-year,p95,FIRE,-185.55,-308.11,-122.56,-3.87,-0.58
150-year,p95,PROF_OTHER,-165.57,-250.73,-85.16,-3.6,3.76
150-year,p95,EDUC_ENT,-124.45,-198.17,-73.72,-3.92,6.33
150-year,p95,G,-109.98,-190.92,-80.94,-2.91,10.44
250-year,mean,AGR,-6.79,-20.36,-13.57,-5.47,-2.69
250-year,mean,MINING,-0.79,-10.76,-9.97,-6.31,-5.09
250-year,mean,UTIL_CONST,-59.91,-103.96,-44.05,-4.37,1.4
250-year,mean,MANUF,-99.21,-276.89,-177.68,-4.9,-20.58
250-year,mean,TRADE_TRANSP,-133.95,-65.02,68.93,-3.86,0.0
250-year,mean,INFO,-64.39,-112.68,-48.29,-3.22,1.31
250-year,mean,FIRE,-241.09,-401.06,-159.97,-3.5,-1.23
250-year,mean,PROF_OTHER,-213.43,-323.02,-109.59,-3.17,5.03
250-year,mean,EDUC_ENT,-161.17,-258.27,-97.1,-3.58,7.27
250-year,mean,G,-138.83,-238.88,-100.05,-2.35,14.58
250-year,p5,AGR,-5.71,-17.77,-12.06,-5.48,-2.56
250-year,p5,MINING,-0.52,-9.44,-8.92,-6.2,-4.63
250-year,p5,UTIL_CONST,-54.08,-93.56,-39.48,-4.42,1.42
250-year,p5,MANUF,-90.02,-249.82,-159.8,-4.89,-17.99
250-year,p5,TRADE_TRANSP,-121.55,-58.01,63.54,-3.99,0.0
250-year,p5,INFO,-56.53,-99.68,-43.15,-3.48,0.7
250-year,p5,FIRE,-214.92,-356.86,-141.94,-3.68,-0.67
250-year,p5,PROF_OTHER,-189.76,-287.92,-98.16,-3.4,3.96
250-year,p5,EDUC_ENT,-144.52,-230.38,-85.86,-3.73,7.24
250-year,p5,G,-124.99,-215.95,-90.96,-2.63,12.53
250-year,p95,AGR,-7.89,-22.98,-15.09,-5.44,-2.82
250-year,p95,MINING,-1.06,-12.07,-11.01,-6.42,-5.54
250-year,p95,UTIL_CONST,-65.48,-114.14,-48.66,-4.33,1.23
250-year,p95,MANUF,-108.51,-304.07,-195.56,-4.9,-23.13
250-year,p95,TRADE_TRANSP,-146.31,-71.99,74.32,-3.73,0.0
250-year,p95,INFO,-72.9,-126.22,-53.32,-2.93,2.3
250-year,p95,FIRE,-266.87,-444.72,-177.85,-3.32,-1.85
250-year,p95,PROF_OTHER,-236.44,-357.59,-121.15,-2.95,5.78
250-year,p95,EDUC_ENT,-177.78,-286.0,-108.22,-3.42,7.37
250-year,p95,G,-152.64,-261.75,-109.11,-2.06,16.66
225-year,mean,AGR,-6.32,-19.35,-13.03,1.61,-2.69
225-year,mean,MINING,-0.73,-9.8,-9.07,0.77,-4.62
225-year,mean,UTIL_CONST,-56.0,-94.73,-38.73,2.72,2.73
225-year,mean,MANUF,-92.52,-259.23,-166.71,2.19,-19.6
225-year,mean,TRADE_TRANSP,-124.83,-61.53,63.3,3.22,0.0
225-year,mean,INFO,-59.69,-105.23,-45.54,3.84,0.75
225-year,mean,FIRE,-224.16,-382.36,-158.2,3.57,-7.11
