scenario,confidence,sector,direct_shock,total_impact,multiplier_effect
175-year,mean,G,-109.55,-169.8882574546708,-60.338257454670796
175-year,p5,AGR,-4.31,-11.47164600849737,-7.16164600849737
175-year,p5,MINING,-0.38,-7.433362619341641,-7.053362619341641
175-year,p5,UTIL_CONST,-41.21,-72.22326491095681,-31.013264910956813
175-year,p5,MANUF,-68.44,-162.94331063423485,-94.50331063423485
175-year,p5,TRADE_TRANSP,-92.21,-175.250767702756,-83.04076770275601
175-year,p5,INFO,-42.02,-71.95623812116467,-29.93623812116467
175-year,p5,FIRE,-162.04,-262.66128619139346,-100.62128619139347
175-year,p5,PROF_OTHER,-143.85,-210.59767063382836,-66.74767063382836
175-year,p5,EDUC_ENT,-109.69,-176.34892193486542,-66.65892193486542
175-year,p5,G,-96.34,-149.237802476709,-52.89780247670899
175-year,p95,AGR,-6.21,-15.626856725348576,-9.416856725348577
175-year,p95,MINING,-0.84,-9.895537916614714,-9.055537916614714
175-year,p95,UTIL_CONST,-52.24,-91.8304978970405,-39.5904978970405
175-year,p95,MANUF,-85.51,-206.79069211900102,-121.28069211900102
175-year,p95,TRADE_TRANSP,-115.24,-221.5760891053585,-106.33608910535851
175-year,p95,INFO,-56.43,-95.18349202242004,-38.75349202242004
175-year,p95,FIRE,-208.21,-337.46085137282944,-129.25085137282943
175-year,p95,PROF_OTHER,-185.28,-271.05626841017545,-85.77626841017545
175-year,p95,EDUC_ENT,-139.3,-224.79372328333963,-85.49372328333962
175-year,p95,G,-122.17,-190.02435293262042,-67.85435293262042
125-year,mean,AGR,-4.02,-10.359442196656762,-6.339442196656762
125-year,mean,MINING,-0.47,-6.6163210164022175,-6.146321016402218
125-year,mean,UTIL_CONST,-36.15,-63.11626055680387,-26.966260556803874
125-year,mean,MANUF,-59.01,-141.4803871005073,-82.47038710050731
125-year,mean,TRADE_TRANSP,-79.46,-151.6298958651523,-72.1698958651523
125-year,mean,INFO,-36.7,-62.74718587268674,-26.04718587268674
125-year,mean,FIRE,-141.02,-228.546998707525,-87.526998707525
125-year,mean,PROF_OTHER,-124.98,-183.01685334214156,-58.036853342141555
125-year,mean,EDUC_ENT,-95.2,-153.17313993108436,-57.97313993108436
125-year,mean,G,-86.0,-132.0176237638534,-46.01762376385341
125-year,p5,AGR,-3.17,-8.494977521995683,-5.324977521995683
125-year,p5,MINING,-0.29,-5.530556889819388,-5.240556889819388
125-year,p5,UTIL_CONST,-30.79,-53.886467887177936,-23.096467887177937
125-year,p5,MANUF,-51.38,-121.80588171624315,-70.42588171624314
125-year,p5,TRADE_TRANSP,-69.12,-130.7243577013526,-61.6043577013526
